id,family,setting,implementation,method,seed,seed_evidence,target_interpolation,featcal_interpolation,stats_samples_per_task,holdout_samples_per_task,max_rounds,cg_iterations,solver_initialization,complete_evaluation,in_published_snapshot,score,config_source,result_source
grid_coexist_ViT-L-14_8,CLIP,ViT-L-14/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,91.52181622317853,wb/results_ablation/grid_coexist_ViT-L-14_8.json,wb/results_ablation/grid_coexist_ViT-L-14_8.json
grid_coexist_a3_ViT-B-16_20,CLIP,ViT-B-16/20,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,86.07553241571654,wb/results_ablation/grid_coexist_a3_ViT-B-16_20.json,wb/results_ablation/grid_coexist_a3_ViT-B-16_20.json
grid_coexist_a3_ViT-B-16_8,CLIP,ViT-B-16/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,89.59442705460756,wb/results_ablation/grid_coexist_a3_ViT-B-16_8.json,wb/results_ablation/grid_coexist_a3_ViT-B-16_8.json
grid_coexist_a3_ViT-B-32_14,CLIP,ViT-B-32/14,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,83.98590562033955,wb/results_ablation/grid_coexist_a3_ViT-B-32_14.json,wb/results_ablation/grid_coexist_a3_ViT-B-32_14.json
grid_coexist_a3_ViT-B-32_20,CLIP,ViT-B-32/20,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),False,False,,wb/results_ablation/grid_coexist_a3_ViT-B-32_20.json,wb/results_ablation/grid_coexist_a3_ViT-B-32_20.json
lmc_iso_c,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,86.60452711350209,wb/results_ablation/lmc_endpoints.json,wb/results_ablation/lmc_endpoints.json
lmc_average,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,85.1180905908503,wb/results_ablation/lmc_endpoints.json,wb/results_ablation/lmc_endpoints.json
lmc_regmean,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,85.31847582115186,wb/results_ablation/lmc_endpoints.json,wb/results_ablation/lmc_endpoints.json
lmc_tsv_m,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,86.38312443101569,wb/results_ablation/lmc_endpoints.json,wb/results_ablation/lmc_endpoints.json
lmc_iso_c_a3,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,87.45555317243898,wb/results_ablation/lmc_endpoints.json,wb/results_ablation/lmc_endpoints.json
lmc_ta,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,85.08584202314917,wb/results_ablation/lmc_endpoints.json,wb/results_ablation/lmc_endpoints.json
lmc_zeroshot,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,85.25409661111848,wb/results_ablation/lmc_endpoints.json,wb/results_ablation/lmc_endpoints.json
coexist_inkrl_seed0,CLIP,ViT-B-32/8,formal,CM,0,logged,0,,256,256,4,100,current model,True,True,87.04513957495699,experiments/github_runs/results/coexist_inkrl_seed0.json,experiments/github_runs/results/coexist_inkrl_seed0.json
coexist_inkrl_seed1,CLIP,ViT-B-32/8,formal,CM,1,logged,0,,256,256,4,100,current model,True,True,87.06165559670718,experiments/github_runs/results/coexist_inkrl_seed1.json,experiments/github_runs/results/coexist_inkrl_seed1.json
coexist_main_seed2,CLIP,ViT-B-32/8,formal,CM,2,logged,0,,256,256,4,100,current model,True,True,87.08834835978057,experiments/github_runs/results/coexist_main_seed2.json,experiments/github_runs/results/coexist_main_seed2.json
coexist_main_seed3,CLIP,ViT-B-32/8,formal,CM,3,logged,0,,256,256,4,100,current model,True,True,87.04166053878816,experiments/github_runs/results/coexist_main_seed3.json,experiments/github_runs/results/coexist_main_seed3.json
L1_coexist_from_soup,LLM,Llama-3.2-3B,wb/llm/ink_llm.py,CM,42,historical default; git commit 43d4206 and calib.texts default,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,54.05610310841546,assets/ckpt/merged/L1_coexist_from_soup/ink_hist.json,assets/lmeval/gsm8k_L1_coexist_from_soup/assets__ckpt__merged__L1_coexist_from_soup/results_2026-09-10T13-19-22.757014.json
L1_coexist_from_ta,LLM,Llama-3.2-3B,wb/llm/ink_llm.py,CM,42,historical default; git commit 43d4206 and calib.texts default,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,51.85746777862017,assets/ckpt/merged/L1_coexist_from_ta/ink_hist.json,assets/lmeval/gsm8k_L1_coexist_from_ta/assets__ckpt__merged__L1_coexist_from_ta/results_2026-09-10T17-29-55.734016.json
L1_coexist_from_ties,LLM,Llama-3.2-3B,wb/llm/ink_llm.py,CM,42,historical default; git commit 43d4206 and calib.texts default,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,50.265352539802876,assets/ckpt/merged/L1_coexist_from_ties/ink_hist.json,assets/lmeval/gsm8k_L1_coexist_from_ties/assets__ckpt__merged__L1_coexist_from_ties/results_2026-09-10T14-47-37.831706.json
L1_coexist_from_tsv,LLM,Llama-3.2-3B,wb/llm/ink_llm.py,CM,42,historical default; git commit 43d4206 and calib.texts default,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,55.04169825625473,assets/ckpt/merged/L1_coexist_from_tsv/ink_hist.json,assets/lmeval/gsm8k_L1_coexist_from_tsv/assets__ckpt__merged__L1_coexist_from_tsv/results_2026-09-10T12-13-00.373391.json
L1_coexist_from_regmean0.5,LLM,Llama-3.2-3B,wb/llm/ink_llm.py,CM,42,historical default; git commit 43d4206 and calib.texts default,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,52.388172858225936,assets/ckpt/merged/L1_coexist_from_regmean0.5/ink_hist.json,assets/lmeval/gsm8k_L1_coexist_from_regmean0.5/assets__ckpt__merged__L1_coexist_from_regmean0.5/results_2026-09-10T17-52-27.166803.json
